Área	CBM	RBS	pH      	Al      	Ca+Mg   	P       	K       	N       	C       	Riq.Faun	Dens.Fau	Ca serap	Mg serap	P serap 	K serap 	N serap 
Rfl 99  	154,0274505615	0,3237439692	4,6999998093	0,6999999881	0,6000000238	1	6	0,076439999	0,8999999762	5	25,625	7,8000001907	0,75	0,0900000036	1,5	9,8868951797
Rfl 99  	104,639503479	0,3421007097	4,6999998093	0,6999999881	0,6999999881	0	6	0,07993	0,8999999762	6	36,875	10,9499998093	1,7000000477	0,0599999987	0,5	7,9543533325
Rfl 99  	48,481967926	0,4012172818	4,8000001907	0,6999999881	0,8000000119	1	11	0,0883300006	1,1100000143	4	23,75	9,8500003815	0,6499999762	0,0399999991	1	9,3542957306
Rfl 99  	108,6007843018	0,408125788	4,9000000954	0,6000000238	0,6999999881	0	9	0,0696600005	0,9599999785	4	28,75	10,3000001907	0,8500000238	0,0799999982	1,5	10,4175634384
Rfl 94  	70,9123764038	0,6873613	4,4000000954	2,2999999523	1	0	17	0,2211000025	2,2799999714	9	41,875	6,8000001907	0,6999999881	0,1700000018	1,5	10,2610902786
Rfl 94  	79,881942749	0,7900526524	4,5999999046	2	0,6999999881	0	17	0,1882999986	2,1600000858	7	64,375	7,75	0,8999999762	0,1299999952	1,5	11,3110618591
Rfl 94  	63,6097450256	0,8468102813	4,5999999046	2,2000000477	0,8000000119	0	24	0,2513000071	2,7899999619	7	32,5	6,3499999046	0,6999999881	0,1299999952	1,5	10,1179122925
Rfl 94  	70,4434738159	0,9770684838	4,5	2,2999999523	0,8000000119	0	21	0,2069000006	2,4600000381	6	67,5	7	0,8500000238	0,1000000015	1	10,7383499146
Rfl 92  	436,9365234375	1,2144821882	4,5999999046	2	1	1	23	0,204400003	2,7300000191	13	60	10	1,2000000477	0,1199999973	2	12,3133077621
Rfl 92  	308,719329834	1,2294656038	4,5999999046	1,6000000238	1	2	20	0,2060000002	2,4300000668	8	50	7,0999999046	1,1000000238	0,1299999952	0,5	11,9792261124
Rfl 92  	495,7555541992	1,1298686266	4,4000000954	1,7000000477	1,2999999523	2	28	0,2249000072	2,7000000477	13	58,75	6,4000000954	1,2000000477	0,0500000007	2	10,9292535782
Rfl 92  	588,3436889648	0,9222367406	4,3000001907	2,2999999523	1,2999999523	1	23	0,2310000062	3,1500000954	8	53,75	6,1999998093	1,25	0,0700000003	2	10,9292535782
Rfl 84  	219,0735778809	0,8672043681	4,8000001907	1,2000000477	2	1	36	0,266900003	2,7599999905	9	56,875	18,4500007629	1,1000000238	0,1899999976	0,5	11,6451444626
Rfl 84  	249,4895019531	0,8305752277	5,5	0	4,8000001907	1	42	0,2757999897	3,7799999714	6	34,375	13,8500003815	0,8000000119	0,1299999952	1	9,783829689
Rfl 84  	244,4652709961	0,9517778754	5,3000001907	1	2,2999999523	1	33	0,2660000026	3,4200000763	8	34,375	15,0500001907	1	0,1299999952	1,5	11,2156095505
Rfl 84  	300,6003112793	0,7662875056	5,4000000954	0,400000006	3,7000000477	2	35	0,2229000032	3,0599999428	9	38,125	14,3000001907	1,2000000477	0,1800000072	2	11,3110618591
Mata    	217,2465515137	1,1181298494	4	2,2000000477	0,6999999881	1	30	0,3075999916	2,7599999905	9	52,5	9	1,6000000238	0,1899999976	1,5	14,7679109573
Mata    	167,3791351318	1,0586147308	3,9000000954	2,7999999523	0,8999999762	2	34	0,3792999983	2,6700000763	13	47,5	9,3500003815	1	0,2300000042	1,5	13,235499382
Mata    	113,883140564	1,0959935188	3,9000000954	2	0,6000000238	1	25	0,3465000093	3,1800000668	12	34,375	8,3999996185	1,5499999523	0,3000000119	1,5	17,253824234
Mata    	203,0643005371	1,0807262659	4	2,7999999523	0,8000000119	2	27	0,3125999868	2,6700000763	11	81,875	7,0999999046	1,5	0,25	1,5	17,9178695679
